author|profile_href|location|date_time|comment_text
Kandi Apple|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=927|Denver|03/14/2020  7:34  PM|Whats up with all the unprofessionals lately?|"
			Sorry that happened to you.  


	Truly professional ladies do not stand our gentlemen up.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|05/14/2020  5:14  PM|Blacklists|"
			What’s funny is for some providers, it doesn’t deter biz at all. Infamy can draw a lot of attraction... Plenty of clients just don’t post reviews that often. I’ve seen plenty of people with accounts on here and only a few have left a review. Hmmm- maybe both providers and clients like to keep up with appearances in their own way.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|05/08/2020  3:16  PM|Denied Booking....Not Sure Why|"
			A few reasons why I’ve rejected potentials: they didn’t take the time to read my ad or website and want me to provide a menu, they told me after reaching out to their refs that they found someone else/aka they wasted a lot of my time so I will never see them even if they reach out again, they were annoying or rude, sent me ???? when I don’t respond within two minutes, the refs they provided had sketchy reviews, the ref they thought would give them a good ref actually let me know they don’t wash their ass, the ref they sent me is someone I’d never reach out to, the ref they sent is someone I’d rather not share clientele with, etc. Your refs aren’t always gonna tell you what they share with another provider, so if they didn’t enjoy having you over, they’re gonna reflect that in their reference. This solidarity with providers keeps us safe. And hell, maybe-just maybe, a provider doesn’t want to share you bc you’re that special. Just tell yourself the last one if you’re stressed about it. Or do other forms of screening.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|04/05/2020  8:37  AM|Onlyfans.com|"
			The Taco Bell analogy was better.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/31/2020  3:44  PM|==== COVID-19 CREDIT ====|"
			That is beyond kind, thank you for thinking of us!!
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/18/2020  5:41  PM|Onlyfans.com|"
			Sorry, not op. But the Taco Bell guy.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/18/2020  5:18  PM|Onlyfans.com|"
			I was talking about OP. I still don’t think you can compare them. There must be some novelty about seeing people you know irl/follow on the internet naked, and that makes certain people pay more due to their desire. I know you could go find a million videos by well known p0rn stars, processionally shot and as hardcore as you want, but OF is booming for lots of amateur xxx creators. There’s something different about it. I gotta say, having convos and the option for custom content is super hot.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/18/2020  2:56  PM|Onlyfans.com|"
			No worries, I can put it into simpler terms for you: paid content isn’t for people like you. You say compensating creators is a waste. So the small fee we charge is to keep people like you away from our content.  
	 
 


	Banger, in the capitalistic market, non-essential goods/services like this can’t really be compared to another. Just as we’ve all discussed in rate threads, it all depends on the provider and their needs.   
	I could spend $5 at Taco Bell(I’m a cheap date) or $10 at a similar establishment. Maybe I just have a preference but I’m not going to say spending that money is a waste. Supporting people is not a waste. That’s the operative word here, and it’s very rude. Just say you don’t care to buy content and move on, you don’t need to insult a whole industry of people.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/17/2020 10:49  PM|Onlyfans.com|"
			Exactly why a lot of content creators have a small fee like $10, to keep away from people who would never support you where it matters. They’d probably rather rip them off and find free content- which someone worked hard to make. It’s good to know that people who dehumanize creators and think supporting us is a waste won’t get to see our content for free. Unless you’re the scum of the earth and participate in pirating/distributing content you don’t own. 
	 
 


	Which is another reason creators have more content for purchase that isn’t on their page, because $10/mo is a very nice donation, but it isn’t worth having ALL your content leaked by subhumans. I also follow pretty famous stars on OF and they do exactly the same thing- probably because they’re tired of being ripped off.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|03/13/2020  8:40  PM|Squirting is real. Who would have thought? Real urine.|"
			If you really care what the magic nectar is made of, you don’t deserve the wetness explosion. /thread
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|02/27/2020  9:20  PM|The wonerful cyber world|"
			Twitter is about the last place that doesn’t censor you these days, maybe that’s why!
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|02/27/2020 10:10  AM|The wonerful cyber world|"
			More on topic though, I try to keep an open mind. I’ve definitely felt enlightened and educated about things I thought I knew about, but in reality didn’t see a whole other side to a story. Being too stubborn can make you seem very ignorant.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|02/27/2020 10:06  AM|The wonerful cyber world|"
			There’s a lot of people I have decided not see because of what they post on here. In hindsight though my outspokenness probably has done the same for me! But I’d rather not see people who I don’t feel I’d get along with. I’m sure y’all feel the same.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|02/14/2020  9:39  AM|Enjoy Your VD|"
			Best thread title
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|01/21/2020 10:00  AM|Ironic|"
			Yikes.
		"
MyraGold|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=17910|North Denver|01/20/2020  7:13  PM|Minneapolis|"
			It’s actually not. If a provider went to sign up, there is no option for it on the site. So they’re just supposed to magically know the requirements?
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/20/2020  8:44  PM|QV UTF provider's|"
			My  QV   = I open the door and you can look at me ,,
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/20/2020  8:38  PM|Denver|"
			Weather changes just as much as I get undress each day ,,,, Welcome 
 


	Last two trips to Denver - Snowed didn't come ready for it  and Next time I was and never made it out much at all
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/20/2020  8:32  PM|Spanking|"
			I like it till it stings then rub it out ..
 


	Years ago had a gent who love me to spank him over my lap and across my keens , wile still in his tidy whites and tell me to call him the General .
 


	No FS just spank him till he came ,  best money ever lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/20/2020  1:24  PM|Remember the black dot thread??|"
			So I'v been wanting to ask this ... How does one go about putting the fun caption under your name like >( You Can't Handle All This )   lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/18/2020  8:58  PM|The Provider Paradox|"
			Well said .... We are not all the same ,
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/18/2020 10:20  AM|Deposits Deposits Deposits!!!|"
			Screening when going to outcalls should  keep you in the know if you are getting The Run Around !
 


	  When you screen that person , and check to see if the address is real  and make sure every thing lines up . 
 


	Can't think of a time i'v done outcalls and gotten a runaround / deposit or not .
 


	So screening goes both ways, If you are doing a Deposit Make Sure You Know Who You Are Dealing With !
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/16/2020  6:30  PM|Get Up and Dance!|"
			I can hold my own lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/15/2020 11:42  AM|Get Up and Dance!|"
			Just get up and Dance
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/13/2020  5:07  PM|The Provider Paradox|"
			I'm enjoying it and I suck a mean tongue
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/09/2020  9:22  AM|Catching feels|"
			(D) I let him know in a kind way , Hey love thanks but i'm not giving up my life to fall in love again and then fall out of love again when im over you or us lol
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/08/2020  9:59  PM|What good are references?|"
			100%
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/08/2020  7:00  PM|Pandemic Feels featuring Laci|"
			I'm sad can't have my hair or nails or eye lashes done here in Ca till Jun ,  


	But we can Golf & buy flowers for mothers day but mom can't look nice and have her hair done
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/05/2020  8:35  PM|Blacklists|"
			Think her reviews would or might say if she was A NO..   That should  tell you what you need to know ..
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/04/2020  2:24  PM|Sierra|"
			Do a charge back if was used a CC on cash app or other apps..
 


	When you see adds with a lot of numbers being used ,,should be your sing to stay away ..
		"
lustybustygina|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=27415|Cal.|05/04/2020  2:18  PM|Not sure who needs to hear this...|"
			I'v had to fire a few  .. When they keep call or email me I just don't give them my time , soon they move on to the next .
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|05/16/2020  6:42  PM|Deposits Deposits Deposits!!!|"
			There always seems to be a question about girls asking for a deposit. Here’s the deal, unfortunately there seems to be an abundance of friends asking for outcalls , which a lot of providers don’t mind doing but here’s the problem. You get all dolled up you drive to the location that was requested, you get there and nobody answers their phone or it’s an address that’s bogus !!This never used to happen but in the last few years we’ve got a much younger crowd who seem to think that it’s kind of funny to mess with somebodys time!!!In. In saying this there are far more who do not do that. So . Some Seem to think that they’re going to be shaded by giving somebody a deposit. So let me break this down... number one - provider has a reputation to keep and there are reviews that can be written so if somebody gets shaded the Friend has the option to write a review stating what happened and therefore the provider loses good reputation So the chances of our friends getting shaded are pretty slim. Does it happen, absolutely but far less than what happens on our side.
 


	so Let’s assume we don’t get a deposit and we show up and it’s a bogus appointment. We don’t know who set that up we don’t know if that’s where we should be we don’t know what the circumstances are all we know is that we’re shaded  with no recourse., so if you think about it logically if a provider asks for a deposit and you’re serious about spending time, then there should be no issues. I’m sorry that there are situations that some of our friends have gone through where they get shaded or ripped off,  just remember you have the option to write a review!! So please stop thinking that deposits are a bad thing they are not. Put yourself in a provider shoes just for a moment and try to understand we’re all trying to Have fun with no glitches.
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|05/02/2020 12:23  PM|Hotels vs a apartment or house which is better|"
			Lmao omg that was friggin funny
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|05/01/2020  4:08  AM|Lock down|"
			If i mimiced my felines sleeping habits , id be sleeping wayyy toooo much! Oh wait i guess i have been lately lol
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/11/2020 12:50  PM|Lock down|"
			Ive spent sooo  much time w my kitties , that i now speak fluent  “meow”!!!!
 


	ps 
 


	its true they laugh at us all the time!!:)
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/11/2020 12:47  PM|Most Looking Forward to These Activities|"
			I cant even imagine what that business is like these days!!! (Mortuaries)
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/10/2020 12:19  PM|Are you Considering Other Options?|"
			It was called freshen up!!! I love that gum so much, i wish they made it still
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/10/2020 12:02  PM|Are you Considering Other Options?|"
			This business  will never die ! LoL
 


	hell It’s survived the Spanish/swine flu
 


	Trust me men can’t handle one p&$?&
 


	for the rest of their lives and speaking for myself I could never stick with 1D for the rest of my life how boring
 


	This too shall pass
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/10/2020 11:50  AM|Most Looking Forward to These Activities|"
			My sympathies go out to anybody who has lost a loved one under any circumstance. And although we have lost all those people that you mention up there in different situations it’s the fact that we’re losing so many people so fast losing 80,000 people over a years time is not like losing 5000 in 6weeks.  it just keeps doubling, rolling down the hill faster if you will. Let’s hope that this might just be what the country needed ? things have been going so fast  and i feel like The saying stopping to smell the roses has become just that ...just a saying ! nobody really does it anymore I mean it sucks what  we’re going through, totally !!! but it’s also kind of nice to pull back on life and reflect and realize how good we have it. This shit is scary and horrible . But maybe mother nature  is weeding herself out?  Slapping us in the face , waking us up and making us remember whats important in life. The world made it through worse things im suspecting the world will get through this too. Now go wash your hands
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/10/2020 11:18  AM|This one really stings .... Mort Drucker|"
			Ok , ill bite .... but know this . I was at the tail tail when i read it. I did not know Alfred died. RIP
 


	what ive always found funny is when ijd meet someone who resembled  that picture.. i felt bad for that  guy ...ive met a few in my life believe it or not
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/09/2020  6:43  PM|Helping each other...what do you need/have|"
			That shits funny right there!
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/09/2020  6:38  PM|Is this normal protocol for a provider?|"
			I +1 this !! Its insane how appts are made and ncns!!  But as for op did you do your homework? I mean i dont do an extensive check like that... i have my own screening process i use. And if im unsure of someones intentions , i.e. they book multiple hours ... i may or may not ask for half deposit as well . I do ask for dep. on outcalls , just for the reason of too many bogus appts. I chalk that up to the fact that their are younger players in the game and a lot of them , not all ,  but some tend to think its cute to mess w providers. Thats my own opinion  but im not sure i agree all red flags on this one jmo
 


	:):)
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|04/01/2020 12:19  PM|==== COVID-19 CREDIT ====|"
			Thank you very much!!
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|03/16/2020  3:04  AM|Stay healthy and active!|"
			We are probsbably safer than going to the grocery store . I hope the gentlemen dont stay 6 feet away.
		"
Ryann|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=257|Sw|02/22/2020  7:56  AM|HH vs  HR|"
			Just cause I don’t like them doesn’t mean that I can’t offer them .  
	 
 


	 
 


	 
 


	da
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|05/08/2020  5:32  PM|Making porn to get through the RONA|"
			Mommy is an adult and pornography is legal. Mommy is social distancing herself and making money paying bills and feeding JR. Our opinions don’t matter much because mommy does what mommy does.
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|05/01/2020 12:40  AM|Hotels not allowing guests|"
			Agree with Audrey!😘💕
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/25/2020  8:46  PM|Where is your happy??|"
			Old Timer you are too much fun!!! 
	 
 


	I made a boat load of cookies. So against my nature! I gave bunch away to someone special and still have some bags in my freezer. I accidentally spilled some wheat grass into one batch also.🍪👀🍪👀🍪👀
 


	Has anyone thought about coordinating outfits with masks to match yet? How  about  hot pink poodle fur mask with a matching purse? 🐩👛🍪😷😷
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/22/2020  8:42  PM|Where is your happy??|"
			Would be nice to have a hot tub and one of those tube rides that drop you into a cooler pool when things get to hot! Maybe a
 


	hammock with a soft breeze
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/17/2020  7:23  PM|"""Gee, it's like we're living in a Stephen King story,' """|"
			Yogosloth, where is my stimulus?
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/17/2020  2:57  PM|"""Gee, it's like we're living in a Stephen King story,' """|"
			More like HP Lovecraft because it was so abruptly placed on us and there is absolutely no way out of the madness! No answers Or solutions on this hellish nightmare! Massive destruction and chaos beyond  measure!  At least with Stephen King you have some sort Warning and seldom global! No this is pandemic,  the ancient ones are amongst us! So I will day Lovecraft
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/09/2020  4:16  PM|Alternative ways to help Companions during the Pandemic|"
			Sorry, I will never ask  for payments in advance. Unless it is a long ass wait and I don’t know you very well.  
	 I will also let you know I am doing everything possible to make arrangements with my bills. Just paid half on my phone and trying to stick to routine as much as possible! walking many miles and even though I just got my car out of the shop I am not driving at all anymore.  
	 
 


	Furthermore, I can’t stand the look of panic on people’s faces at the stores. Also, other than hoarding glassware, I will never understand or feel the need to clear out the whole isle of the red bear (Charmin). Drinking wheat grass and whole lemon. Ya it’s an acquired taste. 😂😂
 


	 Sorry to rant! Just feeling unsettled like all of you too! 😘😘
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/09/2020  3:57  PM|Alternative ways to help Companions during the Pandemic|"
			You confront the individual and ask that they explain why it is so necessary for their toxic behavior to be directed towards you. As long as it is not physical violence? I hope you can verbally work things out!!! Sending you prayers! I don’t care to be noted. However, hurtful behavior during this extremely difficult times is very abusive! Very sorry and I sure hope  nobody is going out of their way to continue to hold onto anger Anger or direct it onto anyone lowers your resistance! Om shakti!
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/07/2020 12:10  PM|Alternative ways to help Companions during the Pandemic|"
			Thank you , clients and providers alike who have recently supported each other through this crisis. We are  incredible hero’s. Paying for future sessions is a transaction call between two adults! Be it happens or not? Let the focus be on the  thanksgiving you share for someone you care about! Sex alone is both a physical and emotional need in life!   
	❤️🦋❤️
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/07/2020 11:16  AM|A happy birthday shout out to ...|"
			Happy Burthay Jez!!!🎂
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/07/2020 11:05  AM|Slow and Sensual, or hard and fast|"
			https://m.youtube.com/watch?feature=youtu.be&v=ih9M2d-KaMA
 


	Possibly you’ve seen this and know it to be TRUTHFUL!!!!
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/05/2020 11:35  PM|Slow and Sensual, or hard and fast|"
			Can’t rush a good thing! it’s  a part of my name  too. So go figure?!
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/05/2020  5:01  PM|What’s the point...😳|"
			I have a bunch of natural bars of soap in a glass bowl. Have been thinking about this problem  and  decided that if anyone uses a bar instead of the liquid soap in my shower? I will take the bar of soap and place  it in a ziplock bag for the guy to take home. Due to thinking it is unsanitary  and messy yuck in the shower. Had to take a fork to the soap to cut it free from the shower shelf last time.  Really yucky! 🤢
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/05/2020  4:47  PM|What’s the point...😳|"
			@lustybustygina  I can’t stop laughing! 
	😂😂
		"
Kali Sensual Reiki|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=12011|Edge Water/Lakewood (West Denver)|04/03/2020  4:11  AM|The Poopchute Will Become The New Normal|"
			Ya but when the feet leave the ground you better have a good helmet ⛑😂😂
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|04/02/2020  9:28  PM|==== COVID-19 CREDIT ====|"
			Thanks!! I know we all appreciate this & need this greatly!
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|11/26/2019 10:13  PM|References help|"
			A-fucking-men!!!
 


	My response to those ""hey I've got to have protection, too"" self absorbed, entitled assholes usually goes a little something like this:
 


	""Lol @  the mention of I've got to have protection, ""TOO"". This implies that I've got any sort of protection or reassurance from YOU, which, seeing as how you're contacting me from a Text App (as is too often the case, despite my CLEARLY unmistakeably stated instructions to contact me otherwise), I have absolutely no clue who you could be, Mr. John Doe.
 


	A well established provider on a reputable site (that you yourself chose, in fact, to find me in the first place)
 


	You? You could be anybody. And I'm thinking you're looking like you've got something to hide. I'm not in this to seek out your family and destroy your life, that just wouldn't be smart for me business -wise now would it? And if you're expecting me to let you in MY space with your ol' secretive ass, well...... Think again, buster.""
 


	The ones who are actually legit get it and start sending what is needed ASAP. The fake timewaster imposter ones, usually = crickets....
 


	Until the NEXT time they decide to try to break thru my screening again, which is sometimes an hour from new number, sometimes 15min, sometimes the next day, or sometimes not for a few days. But yes gents, the struggle to stay safe in this IS SO REAL, so be real or get gone. Please. Thanks in advance !!!  


	<3 xoxo
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|05/21/2019  3:01  PM|How to Treat Us......Theoretically, of course.|"
			Here's her eros profile: 
 


	(If link doesn't work just search ""Arabelle"" in San Fran escorts section on eros.)
 


	A friend of mine has seen her as this is his fav porn star/Dream girl. A bit pricey but he wasn't complaining. He said she was incredible  


	Also you can search for ""Arabelle Raphael"" on PornHub to watch some of her films. Top notch  


	https://www.eros.com/massachusetts/boston/files/6834868.htm
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|05/18/2019  6:30  PM|How to Treat Us......Theoretically, of course.|"
			Some of y'all need to watch this & learn somethin' & use it in your communications. Theoretically, of course. Just sayin' .......
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|05/11/2019  5:35  PM|Who is your favorite retired porn star and why?|"
			Remy LaCroix all day errrrry day. 
 


	Mmmm them hula hoop hips !!!!
		"
Violet_Vixxxen|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=21770|.Denver|12/10/2018  8:39  AM|"""How to Treat an Escort. video"|"
			Ladies and Gents!!! 
 


	Well Hello. <3
 


	I LOVE TOB & have been utilizing this wonderful site for almost a year now. I love passing time reading posts, but have never posted anything myself..... That is, until now! 
 


	I feel like it's my obligation to help educate those interested in proper etiquette (which really ought to be ALL of you), as well as for the ladies, so that they may have this to send to those who violate these expectations without having to really say anything  


	I feel like sending this link in response next time someone contacts me who just doesn't seem aware of these rules. She pretty much narrows it down perfectly! 
 


	



	 So thank you Arabelle Raphael, you are a goddess!
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|04/05/2020  2:41  PM|==== COVID-19 CREDIT ====|"
			opps.. I expired the 28th and literally JUST SAW this thread.  out of luck here.
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|03/17/2020 12:53  PM|Stay healthy and active!|"
			Pre-paid dates now mean the world to many of us...as we don't want to risk community spread. Also, even jobs that we may have had outside of companionship may be gone now.. (roof over heads, food on the table) but even small tokens like gift cards (grocery, Amazon, Groupon (self care) to an email (gents...even $20-$50 means a lot right now) can be a bright spot in a day)  Buy p411 points  sent to a lady you admire. ...because with the increased rates and no clients coming out due to COVID concerns.....and no $...even livelihood of TOB owners will be affected with lack of advertising ladies. It's a trickle down effect.
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|01/30/2020 10:10  PM|New Mexico?|"
			New Mexico ladies (as I pop down there at least once a year) can easily be found on Twitter with the appropriate hashtags..and Switter) there's a couple of great ones that advertise on those venues.
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|01/29/2020  6:16  PM|Punter|"
			Common term in Australia also. Not a flattering term either. I hate labels...I'd rather a gentleman (who acts like a gentleman) be called a gentleman..
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|12/15/2019 11:42  AM|Gift for your Fav.lady|"
			So Many Options...
 


	This time of year..cash is wonderful... (in person, via discreet Venmo and booking an appt in a traditionally slow holiday season).
 


	Many ladies have wish lists...or really appreciate Amazon gift cards (helps in buying gifts for the holidays etc or to treat herself and can be sent via email)
 


	 and as always...many providers have wish lists or the little things on their websites to hint at what is appreciated. What Audrey says also...gift cards are great as $ often goes to bills or other's needs...a gift card is a luxury treat for the lady (massage, mani/pedi, restaurant)
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|11/05/2019  7:25  AM|References help|"
			OP....It's really not that difficult.
 


	Choose an established provider who is newbie friendly (many of us can guide you through gently) ...expect some RW info needed (this is where it differs in How we verify that RW info..... and everyone has their own methods...IMO  it's so easy to do so nowadays electronically (unless you cloak yourself up TOO much.)..and sometimes..ID is not even needed- (I haven't had to use a screen print of any ID except for 1/2X in my career).
 


	Most importantly remember.... Us ladies do not want to ""ruin a life""....we simply want to not get killed , hurt or incarcerated... 
 


	The biggest drama and horror stories that you hear out there are often the ones that are fly by night providers who do not screen...which is usually due to some drama that yields even more drama down the line... best to avoid that.
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|11/03/2019  9:40  AM|Good morning Colorado!|"
			ah *blush* ...and I think in the morning ""situation""..... a gent getting pre-screened (safety issue as references etc are pretty much non-responsive immediately at 430am) or having a date previously where he is awesome   yields a lot more opportunities for ""off prime time"" playtime with many of us...... every lady's incall situation is different...but if available... sounds perfect!
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|11/03/2019  9:00  AM|Good morning Colorado!|"
			Mornings are amazing!!! ...and especially for those of us with career  commitments... There's a lot of talk but not a lot of sincere follow through that we see.... I'm sure there are many ladies who are early birds who would Love it if booked in advance.  (vs the rando stranger messaging at 430 am message ""u up?"" while we are still snoozing, walking dogs, morning breath, not prepared etc..)
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|10/08/2019  2:26  PM|Weird Vibes|"
			Did the provider fully screen you? (meaning references and/or real life info?) if not....you did YOUR due diligence on her through looking at reviews...BUT she didn't do any on you- so was probably flying blind...... she took a risk that you could be LE and you may have well given her the LE vibe unknowingly.   It sounds like a f*&^%ed up situation for both....
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|09/21/2019  8:41  PM|Accepting trades?|"
			....if I only had $20 for every time I got an email from a guy wanting to give me a massage in trade for a session....
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|09/07/2019  3:42  PM|Provider Listings Massachusetts|"
			Boston girl here....born and bred. We were primarily TER for years after Big Doggie slowed down (once top in the country) ...but in the last decade....Ladies marketi on social media. been on Twitter for almost 10yrs and many of my co-horts have too.  Hobby Boards are getting antiquated in the recent couple of years.. Environment is different than ECCIE and TNA....be a gentleman, plan ahead, prebook, screen and be forthcoming and it's a wonderful city of top and professional and dependable  ladies!
		"
MelindaMadison|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=1863|N/A|09/04/2019  3:02  PM|Fall is almost here! Favorite things about fall!|"
			Those women who look tan and amazing sunning themselves? ...nope...not my white Irish ass....(frizzy hair, freckles and sunburns)  give me fall, crisp days and cable knit sweaters!   Aspen leaves and my trips to Aspen and fall off season dining.
		"
